objectid;tipcalle;nomcalle;velocidad;st_length_shape;geo_shape;geo_point_2d
7777;C/;BARQUES;30;40.945848385398;"{""coordinates"": [[-0.3760057689305414, 39.47034340985473], [-0.37553116178799173, 39.470368727638615]], ""type"": ""LineString""}";39.47035606874667, -0.37576846535926656
7879;C/;PINTOR VILA PRADES;30;89.32828710436577;"{""coordinates"": [[-0.3898570284691003, 39.470020271706936], [-0.3901287485593778, 39.47079661904258]], ""type"": ""LineString""}";39.47040844537476, -0.3899928885142391
7885;C/;ART MAJOR DE LA SEDA;30;64.05851752889697;"{""coordinates"": [[-0.398405779032063, 39.47020298158481], [-0.39913353088508186, 39.470323845632485]], ""type"": ""LineString""}";39.47026341360865, -0.3987696549585724
7886;C/;DOCTOR MANUEL CANDELA;50;112.58457816487817;"{""coordinates"": [[-0.34971856632233145, 39.46903459301081], [-0.349442448401377, 39.469723943052244], [-0.34932158383823275, 39.470000511872435]], ""type"": ""LineString""}";39.46951883795173, -0.3495231455938765
7887;C/;POBLA DE FARNALS;30;94.58531132444406;"{""coordinates"": [[-0.35093531851637044, 39.469391669116945], [-0.35081113457055985, 39.46935280316812], [-0.34991193145071436, 39.469081388940474]], ""type"": ""LineString""}";39.46923597346447, -0.35042379576177
7892;C/;MARTÍ GRAJALES;30;70.53609802080067;"{""coordinates"": [[-0.33439879403808215, 39.468739631670466], [-0.3335824377551784, 39.46868414766241]], ""type"": ""LineString""}";39.46871188966644, -0.33399061589663026
9181;AV;MESTRE RODRIGO (MÚSIC);50;18.871461370659457;"{""coordinates"": [[-0.4046894837614, 39.487535573606564], [-0.4047447375674575, 39.487460106633435], [-0.4048169475521458, 39.48739856758858]], ""type"": ""LineString""}";39.48746334440939, -0.4047492038097017
9182;C/;JOFRENS;Peatonal;43.88123175117125;"{""coordinates"": [[-0.37608579674384546, 39.47387664627882], [-0.3762019699800996, 39.473491891254945]], ""type"": ""LineString""}";39.47368426876688, -0.3761438833619725
9183;C/;PESCATERIA;Peatonal;20.495047426146638;"{""coordinates"": [[-0.3762019699800996, 39.473491891254945], [-0.376425514420455, 39.473555495464396]], ""type"": ""LineString""}";39.47352369335967, -0.3763137422002773
9186;C/;DOCTOR JOSEP JUAN DÒMINE;30;18.54305746094748;"{""coordinates"": [[-0.3300417644192596, 39.46240655317618], [-0.3301734569864289, 39.46253869195419]], ""type"": ""LineString""}";39.46247262256519, -0.3301076107028442
9189;C/;REUS;30;46.24895384762773;"{""coordinates"": [[-0.37913763085131175, 39.48553725933167], [-0.37967259364045186, 39.48557737747472]], ""type"": ""LineString""}";39.485557318403195, -0.3794051122458818
9190;C/;MONTAÑANA;Peatonal;106.00845270543287;"{""coordinates"": [[-0.3810656962534826, 39.48703353217586], [-0.37996673228011957, 39.48660211057142]], ""type"": ""LineString""}";39.486817821373634, -0.38051621426680104
9195;AV;BURJASSOT;30;73.33910108530101;"{""coordinates"": [[-0.38727794569615376, 39.48659830447863], [-0.3866587840939466, 39.48614446372748]], ""type"": ""LineString""}";39.48637138410305, -0.3869683648950502
9198;C/;MARXALENES;30;65.27356137993357;"{""coordinates"": [[-0.3865639233001464, 39.4862137699732], [-0.38670793035578355, 39.4865177942849], [-0.3868494862055128, 39.486757854927845]], ""type"": ""LineString""}";39.48648903979802, -0.3867006185967043
9201;AV;PORTUGAL;30;40.90490583047466;"{""coordinates"": [[-0.3868494862055128, 39.486757854927845], [-0.38727794569615376, 39.48659830447863]], ""type"": ""LineString""}";39.48667807970324, -0.3870637159508333
9202;C/;BENISSUERA;30;17.396852157789926;"{""coordinates"": [[-0.38478329425061564, 39.48625402156361], [-0.38473186583683466, 39.486102516402525]], ""type"": ""LineString""}";39.48617826898307, -0.3847575800437252
9385;AV;CID;50;135.3290994580293;"{""coordinates"": [[-0.39795949850103507, 39.46852391542508], [-0.39679913521996674, 39.46831501369981], [-0.3966588085304228, 39.46829975341002], [-0.39651803043517914, 39.46829659971167], [-0.39641992982326696, 39.46830349187646]], ""type"": ""LineString""}";39.46839083453457, -0.39719161256781177
9392;AV;CID;30;36.39992785985618;"{""coordinates"": [[-0.399215335670943, 39.468751707728146], [-0.3990853193035656, 39.4687704011501], [-0.3989631947300376, 39.46879191064348], [-0.39884519761185055, 39.46880745845654], [-0.39880141374929307, 39.468817730483025]], ""type"": ""LineString""}";39.46878348978144, -0.39900812044960815
9394;AV;CID;30;16.51269042282329;"{""coordinates"": [[-0.39958323416077995, 39.46881223673735], [-0.3995759443241464, 39.46896082743759]], ""type"": ""LineString""}";39.46888653208747, -0.3995795892424632
9781;C/;AMANDO BLANQUER (COMPOSITOR);Peatonal;49.92000702123348;"{""coordinates"": [[-0.399596679860567, 39.483934998271245], [-0.3995202231058777, 39.48348938703301]], ""type"": ""LineString""}";39.48371219265213, -0.39955845148322233
9782;C/;BENAVITES;30;22.096318539521466;"{""coordinates"": [[-0.40002935275611207, 39.483742567237975], [-0.40025607057143403, 39.483649146370944]], ""type"": ""LineString""}";39.48369585680446, -0.400142711663773
9788;C/;VALL DE LA BALLESTERA;30;63.90908646663633;"{""coordinates"": [[-0.4002819699742288, 39.47841328781382], [-0.4002502979804318, 39.47898826987547]], ""type"": ""LineString""}";39.47870077884465, -0.40026613397733035
9789;C/;IMPRESSOR MONTFORT;30;10.945398759296072;"{""coordinates"": [[-0.3935570990067257, 39.462028976255404], [-0.39365463048324684, 39.46209221641134]], ""type"": ""LineString""}";39.46206059633337, -0.39360586474498627
9790;C/;IMPRESSOR MONTFORT;30;89.1839706954114;"{""coordinates"": [[-0.3927624444408131, 39.46151365710345], [-0.3935570990067257, 39.462028976255404]], ""type"": ""LineString""}";39.46177131667943, -0.39315977172376937
9791;C/;MARQUÉS D?ELX;Peatonal;52.39808859109271;"{""coordinates"": [[-0.39318789996041975, 39.46240412945306], [-0.3935570990067257, 39.462028976255404]], ""type"": ""LineString""}";39.46221655285423, -0.3933724994835727
9792;C/;CONCA;30;136.79640198850262;"{""coordinates"": [[-0.3919420211466629, 39.46016194203432], [-0.39093808824651644, 39.461116857689184]], ""type"": ""LineString""}";39.46063939986175, -0.39144005469658966
9793;C/;ARTS GRÀFIQUES;Peatonal;46.65747478164673;"{""coordinates"": [[-0.35716461056977, 39.47521043076314], [-0.3566594798034173, 39.47505789142172]], ""type"": ""LineString""}";39.47513416109243, -0.35691204518659364
9794;PL;LUIS CASANOVA;30;205.5906399923806;"{""coordinates"": [[-0.3585269041445038, 39.4761633890836], [-0.35692376351923744, 39.475702308833114], [-0.35716461056977, 39.47521043076314]], ""type"": ""LineString""}";39.47581507823934, -0.357556975688236
8248;C/;EDITOR CABRERIZO;Peatonal;83.16403247343342;"{""coordinates"": [[-0.3810516269049413, 39.471664422132406], [-0.3810644227140079, 39.47163317969464], [-0.38091076139872054, 39.47092703908187]], ""type"": ""LineString""}";39.47129656501919, -0.38099073564744546
