Street Name,Street Type,Residential,Bikeway,Street Length,Latitude,Longitude,Street Coordinates
Ribas,Path,0,0,230.80233160619693,39.4304544717238,-0.3554634004325131,"[[-0.3567472194537476, 39.430752148280185], [-0.3566048826800567, 39.43071732661357], [-0.3560179856187113, 39.43058137768863], [-0.35547303684030984, 39.43046053301661], [-0.35468010386010107, 39.43027132326213], [-0.35417953437701033, 39.43015695986084]]"
Lleons,Street,0,0,66.39488685885382,39.467119076002646,-0.34796555803075524,"[[-0.34806802957762895, 39.46683088192393], [-0.3478630864838816, 39.46740727008136]]"
Organista Cabo,Square,0,0,158.77938499328388,39.467407636431886,-0.3448685831237066,"[[-0.3451046470771884, 39.46674522984118], [-0.3446351367786683, 39.46772546599703], [-0.3450961283690292, 39.467866616474325]]"
Duc De Gaeta,Street,0,0,75.67283426038699,39.4684170481063,-0.34888565627466167,"[[-0.34901390224533857, 39.46809115850644], [-0.3487574103039847, 39.46874293770617]]"
Lluis Despuig,Street,0,0,94.1866934098648,39.46898946131893,-0.3322659058698605,"[[-0.33238507201077644, 39.46857559841389], [-0.3322225967080093, 39.46913941006781], [-0.33214712646013594, 39.46940343521913]]"
Artur Piera,Square,0,0,24.261901100284785,39.47009322685952,-0.39491449182820604,"[[-0.39493920647573133, 39.4699856795043], [-0.39488977718068075, 39.470200774214746]]"
Columbretes,Street,0,0,61.45183691314687,39.46840203050369,-0.3251641644463615,"[[-0.32552112248224746, 39.468404373062434], [-0.3248072064104755, 39.468399687944945]]"
Josep Benlliure,Street,0,0,89.75602899387651,39.46953051057035,-0.3302279351502496,"[[-0.3303109331927171, 39.46913156180496], [-0.33021750615577733, 39.46957985212979], [-0.33014529569527995, 39.46992953372662]]"
Vicent Sancho Tello,Street,0,0,103.92173499802628,39.46988911893726,-0.357320577466596,"[[-0.35788891949842916, 39.47004689536465], [-0.35675223543476287, 39.469731342509874]]"
Arago,Avenue,0,0,97.28933187148527,39.469289758988,-0.3590235007600945,"[[-0.35944182856346857, 39.468995219675755], [-0.35860517295672034, 39.46958429830024]]"
